Year,Precipitation
2014,1044.9
1990,258.7
1991,303.5
1992,131
1993,278.7
1994,205.5
1995,163.6
1996,192.7
1997,301.4
1998,169.5
1999,251.2
2000,315.8
2001,283.1
2002,280.7
2003,274
2004,287.5
2005,257
2006,408.1
2007,272.1
2008,273.4
2009,325.7
2010,281.5
2011,350.7
2012,298.2
2013,230.1
2014,324.6
1990,115.1
1991,155.2
1992,143.6
1993,131.2
1994,206.5
1995,129.1
1996,119.1
1997,153.4
1998,174.7
1999,214.9
2000,135.6
2001,139
2002,130.9
2003,188.7
2004,174.4
2005,175
2006,144.1
2007,173.4
2008,172.5
2009,144.7
2010,178.2
2011,145.3
2012,208.4
2013,171.4
2014,145.1
1990,1092
1991,1210.2
1992,1116.4
1993,1096
1994,1204.1
1995,1186.6
1996,1265.2
1997,1225
1998,1156.3
1999,1244.1
2000,1156.4
2001,1083.1
2002,1073.5
2003,1310.8
2004,1173.6
2005,1077.7
2006,1168.1
2007,1250.6
2008,1323.5
2009,1149.2
2010,1164.9
2011,991.7
2012,1260.5
2013,940.9
2014,1107.7
1990,1171.2
1991,1150.6
1992,1129.2
1993,1027.5
1994,1261.6
1995,1174
1996,1176.8
1997,1268.9
1998,1353.6
1999,1059.1
2000,990.7
2001,1164.7
2002,1328.6
2003,1073.7
2004,1035.6
2005,1082.1
2006,1208.2
2007,1434
2008,1070.3
2009,1352.7
2010,1399.5
2011,1249.4
2012,1148.7
2013,1278.8
2014,1214.3
1990,552.6
1991,558
1992,577.7
1993,600.8
1994,761.6
1995,642.2
1996,642
1997,640.9
1998,657.5
1999,834.4
2000,756.9
2001,599.5
2002,488.1
2003,825.2
2004,658.6
2005,790.7
2006,651.9
2007,617.6
2008,796
2009,805
2010,919.2
2011,656
2012,801.4
2013,764.1
2014,634.1
1990,1730.6
1991,2048.2
1992,2477.2
1993,1915.8
1994,2404.2
1995,2129.3
1996,2006.6
1997,2160.9
1998,1797.4
1999,1892.8
2000,2101.2
2001,1923.9
2002,2327.8
2003,2455.3
2004,2234.4
2005,1906
2006,1955.9
2007,1759.8
2008,1635.3
2009,1977.7
2010,1730.6
2011,1596.4
2012,1487.3
2013,2075.5
2014,2054
1990,2263.5
1991,2395.4
1992,2656.9
1993,2458.2
1994,2527.3
1995,2581
1996,2372.3
1997,2405.1
1998,2644.1
1999,2549.8
2000,2490.2
2001,2410.3
2002,2476.2
2003,2649.3
2004,2585.6
2005,2295.6
2006,2475.3
2007,2235.9
2008,2397.6
2009,2358.8
2010,2804.7
2011,2482.4
2012,2479.1
2013,2517.9
2014,2562.6
1990,288.1
1991,220.8
1992,224.9
1993,246.8
1994,262.8
1995,276
1996,214.8
1997,356.1
1998,225.7
1999,250.9
2000,259.1
2001,238.7
2002,275.2
2003,269.1
2004,285.7
2005,263.8
2006,281.2
2007,287.7
2008,263.4
2009,254.5
2010,244.6
2011,292.6
2012,258.1
2013,302.3
2014,259.8
1990,402.6
1991,513.9
1992,327.6
1993,454.8
1994,397.4
1995,517.5
1996,589.1
1997,511.1
1998,503.4
1999,451.3
2000,624.7
2001,562.4
2002,433.1
2003,376.8
2004,491.4
2005,415.5
2006,607.4
2007,431.7
2008,447.6
2009,487.9
2010,469.7
2011,562.5
2012,484.1
2013,439.6
2014,494.1
1990,309.7
1991,452.6
1992,398.3
1993,411.5
1994,450.1
1995,426.9
1996,411.8
1997,414.9
1998,437.2
1999,493.9
2000,427
2001,405.5
2002,392.5
2003,465.7
2004,367.2
2005,407.2
2006,454.7
2007,497.7
2008,441.9
2009,346
2010,464.7
2011,401.2
2012,430.2
2013,444.7
2014,462.4
1990,703.8
1991,727
1992,488.6
1993,711.5
1994,620.6
1995,712.6
1996,827.7
1997,903.6
1998,905.9
1999,984.4
2000,533
2001,814.4
2002,532.6
2003,645.8
2004,882.1
2005,659
2006,899.2
2007,639.7
2008,716.2
2009,814.5
2010,644.7
2011,740.2
2012,888.3
2013,723.7
2014,780.6
1990,1006.6
1991,1094
1992,988.9
1993,916.4
1994,1052.6
1995,961.8
1996,934.7
1997,1141.7
1998,1044.5
1999,967.7
2000,893
2001,903.3
2002,1255
2003,848.4
2004,1007.7
2005,968.2
2006,1178.4
2007,1016.4
2008,936.3
2009,990.9
2010,997.5
2011,1053.3
2012,852.4
2013,973
2014,1035.4
1990,997.2
1991,1303.3
1992,988.8
1993,1096
1994,1201.4
1995,1239
1996,1104.6
1997,1213.4
1998,1107.3
1999,1282.1
2000,960.4
2001,904.1
2002,1186.9
2003,1312
2004,1142.8
2005,1092.9
2006,1080.6
2007,1308.8
2008,1349
2009,1240.5
2010,1378.3
2011,1136.5
2012,1166.2
2013,1036.7
2014,1210.9
1990,446.1
1991,308.6
1992,382
1993,229.1
1994,281.2
1995,349.6
1996,356
1997,358.9
1998,249
1999,315
2000,201.3
2001,256.7
2002,244.9
2003,471.8
2004,301.7
2005,308.3
2006,381.6
2007,331.4
2008,214.9
2009,351.3
2010,286.8
2011,354.1
2012,244.4
2013,310.4
2014,274.9
1990,1105.5
1991,1199.2
1992,1077.2
1993,1006.5
1994,1227.6
1995,1138.5
1996,1293.5
1997,1239.5
1998,1169.4
1999,1204.1
2000,1091.3
2001,1150.4
2002,1249.2
2003,1113.6
2004,1159.3
2005,945.4
2006,1282.5
2007,1415.7
2008,1157.3
2009,1109.7
2010,1384.3
2011,1230.5
2012,1377.7
2013,1443.4
2014,1157.7
1990,873.9
1991,956.8
1992,783.3
1993,969.4
1994,772.7
1995,781.8
1996,951.5
1997,1049.9
1998,986.4
1999,776.4
2000,1082.1
2001,1092.8
2002,953.1
2003,1043.7
2004,1149.1
2005,878.6
2006,1018.7
2007,1018.3
2008,1013.7
2009,1025.9
2010,1142.2
2011,963
2012,1129.1
2013,1001.6
2014,1011.7
1990,637.8
1991,528.5
1992,468.7
1993,693.1
1994,485.4
1995,458.8
1996,736.9
1997,828.7
1998,708.2
1999,698.2
2000,932.1
2001,897.8
2002,431.1
2003,631.7
2004,754.3
2005,678.5
2006,632.5
2007,675.7
2008,695.7
2009,642.8
2010,762.9
2011,735.6
2012,627.4
2013,638.5
2014,674.1
