Precipitation,Mean Temperature,Humidity,Deaths
180.6,28.4,26.8,0.122155745
193.2,29.1,27.8,0.159644894
365.7,28.2,26.9,0.234378164
304.9,28.4,26.8,0.235451622
223.3,28.4,26.8,0.353930331
197.4,28.7,27.2,0.629490784
197.7,28.9,27.6,0.944424712
219.7,28.3,26.9,0.83515106
186.4,28.3,27,0.781315472
235.1,28.5,27.3,0.549663403
197,28.5,27.3,0.353975085
198.5,27.8,26.4,0.102410338
193.6,29,27.6,0.048712882
236.2,28.8,27.5,0.030044804
217,28.6,27.1,0.034446903
208.9,28.7,27.3,0.054313305
290.7,28.7,27.2,0.085846092
264.7,28.6,27.3,0.086511959
41,22.4,11.4,0.008488549
57.1,22.4,11.5,0.008396611
42.3,21.7,11,0.008243814
53.4,22.6,11.5,0.008303739
54.3,22.6,11.8,0.008363087
27,22.6,11.6,0.00823793
31.8,22.9,11.7,0.008299669
40.1,22.4,11.4,0.00836413
46.8,23.2,12.1,0.008287967
26.3,23.2,12.2,0.008292068
46.5,22.3,11.8,0.008182194
25.9,23.1,12.2,0.008364392
39.4,23.2,12.3,0.008428585
31.8,23,12.2,0.008465928
35.4,23.1,11.9,0.008425646
38.5,23.1,11.9,0.008409
29.5,23,12,0.008506093
29.3,23.1,12.2,0.008483893
33.7,23.5,12.3,0.008556183
32.5,23.4,12.4,0.008672679
29.4,24.7,13.1,0.00869413
31.8,22.8,12.2,0.008608481
35.4,23.4,12.6,0.008619597
41,23.3,12.3,0.00845753
43.7,23.6,12.6,0.008442817
2348.9,24.9,26.8,132.7368235
2133,24.8,26.6,151.6537918
1915.7,24.6,26.1,167.1488644
1842.3,24.6,26.2,181.0202902
2366.5,24.6,26.2,193.9642573
2247,25,26.7,199.9971041
2402.6,24.9,26.3,210.6215417
2098,24.9,26.8,207.707882
2190.3,25.5,27.2,210.2811176
2412,24.8,26.4,210.5589735
2210.5,24.8,26.5,205.6769197
2281,24.7,26.7,195.8089094
2487.7,25,26.9,189.5318228
2384.9,25.1,27,192.8582864
2330.5,24.8,26.6,211.8200194
1897,25,27,194.4942448
2378,25,26.8,165.1857275
2610.6,24.9,26.5,159.6289586
2285.9,24.8,26.4,151.3767365
2354.4,25,26.9,125.3713847
2029.9,25.2,27.3,126.8325219
1849,25,26.8,146.5132137
2625.8,25,26.8,144.2531054
1935.4,24.9,26.6,135.4021768
2058.8,25.1,27,112.1435735
212.5,26.3,20.9,14.88529688
369.9,25.9,20.8,14.44034799
383.4,25.1,20,14.28513418
361.7,25.8,20.5,14.34771288
377.5,25.8,20.7,14.36147322
379.3,25.7,20.9,14.92422923
329.6,26.1,20.8,15.14433253
349.2,26,20.3,15.51029244
457.9,26.5,21.1,15.1752352
360.9,26.2,20.8,15.61786328
464.6,26,20.4,15.50742854
382.1,26.1,20.7,15.88158301
337.1,26.5,20.8,12.22534886
358.2,26.5,21.2,11.69722179
325.1,26.1,20.6,11.19367758
426.3,26.2,20.8,11.19047068
363,26.2,21,10.49688922
424.4,26.2,20.9,9.581633578
369.7,26.1,20.6,8.387134633
314.1,26.7,21,7.507259854
320.7,26.8,21.5,7.731567017
298.7,26.3,20.7,6.752522727
312,26.7,21.1,6.610260096
327,26.6,21,6.535287262
401.6,26.4,21.1,6.727768988
749.1,22.4,17.4,26.98414879
767.4,22.5,17.1,26.54791655
747.4,22.4,17.1,26.22707706
807.8,22.2,16.8,25.92524215
838.1,22.3,17.1,26.05360394
714.8,22.7,17.4,25.92144679
821.2,22.6,17.2,25.14461986
869.8,22.5,16.9,24.5053019
863.6,22.7,17.2,24.02452342
730.1,22.2,16.6,23.65931686
895.1,22.5,16.8,23.39619102
779.9,22.6,16.9,26.63297759
669.6,22.9,17.2,26.75423186
747,23,17.4,26.94594689
818.9,22.8,17.1,26.16545278
833.9,22.8,17,24.99648982
867.7,22.8,17.3,15.00469738
835.5,22.7,17.3,11.18947648
842.8,22.4,16.8,5.440635209
746.5,23.2,17.5,2.845146259
889,22.9,17.5,2.165512168
821.1,22.9,17.3,1.619249284
872.8,22.8,17.2,1.626916764
1018.1,23,17.3,1.526582935
907.5,23,17.3,1.364280541
1869.6,25.3,26.5,86.2015302
1779.2,25.3,26.3,89.97181973
1622.1,25,25.9,90.41434541
1681.1,25,25.9,86.3944021
1834.8,25,25.9,83.68957377
1754.8,25.4,26.4,83.92606254
1709.8,25.3,26.1,82.33098016
1827,25.4,26.6,81.72885687
2001.6,26,27,83.00478834
1988.8,25.3,26.1,83.35590985
1854.8,25.2,26.2,79.10414542
1820,25.3,26.4,78.29726417
1971.4,25.6,26.7,73.69807072
1863.3,25.5,26.7,68.63016472
