Year,Deaths
2010,0
2011,0
2012,0
2013,0
2014,0
1990,152.1879208
1991,154.0648879
1992,157.2083561
1993,160.1323146
1994,162.9720234
1995,162.7274489
1996,163.2327147
1997,161.0944135
1998,160.9067692
1999,158.5732815
2000,155.7487547
2001,157.0575941
2002,156.0015169
2003,155.1705753
2004,155.3236978
2005,152.2625018
2006,143.4320829
2007,131.9264252
2008,121.0192554
2009,107.8031749
2010,97.39717606
2011,88.25656541
2012,69.16456411
2013,60.20374342
2014,61.98950007
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
1990,242.2193721
1991,239.2444443
1992,235.2690157
1993,231.7837175
1994,225.8320079
1995,220.6231977
1996,212.988503
1997,203.288356
1998,198.5143986
1999,196.4349004
2000,158.3236738
2001,137.561065
2002,119.8228937
2003,110.9741825
2004,102.2527746
2005,95.75855423
2006,102.0531477
2007,109.2084077
2008,114.81391
2009,109.1067651
2010,82.85316039
2011,67.11823792
2012,58.61446789
2013,57.56799125
2014,62.06941419
1990,205.7861
1991,200.6676082
1992,194.1970755
1993,189.8558573
1994,186.4182366
1995,184.3589962
1996,183.2542802
1997,179.2691162
1998,179.0826752
1999,181.4247879
2000,184.4605204
2001,190.9329166
2002,199.8793064
2003,209.1257012
2004,217.9450555
2005,221.2759467
2006,210.8135929
2007,197.4144273
2008,181.2670078
2009,164.5217491
2010,158.4171342
2011,162.252053
2012,174.253135
2013,177.7329995
2014,171.5552836
1990,6.907893629
1991,7.049838303
1992,7.182132098
1993,7.472567064
1994,7.722342861
1995,8.191496903
1996,9.030493984
1997,9.580504886
1998,10.70631244
1999,11.79921878
2000,12.83956245
2001,15.65391907
2002,18.28667094
2003,19.87729059
2004,18.8021472
2005,18.86362395
2006,18.58924546
2007,17.08002539
2008,16.25843355
2009,15.16482589
2010,9.072703066
2011,7.656472807
2012,7.080340461
2013,6.743792488
2014,6.326640809
1990,0.019508437
1991,0.019494201
1992,0.019343375
1993,0.019553423
1994,0.019750746
1995,0.019718586
1996,0.020062016
1997,0.020593658
1998,0.020633534
1999,0.020813065
2000,0.020796541
2001,0.021074034
2002,0.02130493
2003,0.021472943
2004,0.021493553
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
1990,241.4508367
1991,236.510448
1992,231.5630724
1993,230.1958197
1994,225.7761265
1995,223.420691
1996,221.0244148
1997,216.7424026
1998,215.5747423
1999,212.7859045
2000,205.0310241
2001,200.5450443
2002,191.3819915
2003,179.6164555
2004,165.3042992
2005,148.4757983
2006,142.7004547
2007,127.7304846
2008,103.9219911
2009,103.3474976
2010,101.0501137
2011,96.47798691
2012,93.86067713
2013,85.24233376
2014,74.93678788
1990,8.269768442
1991,7.766455161
1992,7.474077488
1993,7.241258646
1994,6.883272776
1995,6.831654891
1996,6.73969836
1997,6.80270338
1998,6.903672434
1999,7.278804611
2000,7.236646264
2001,6.755691723
2002,6.678414702
2003,7.050495659
2004,8.222062273
2005,8.861376306
2006,8.851606088
2007,7.632246018
2008,6.893182055
2009,5.51910581
2010,4.341346419
2011,4.196162825
2012,4.179644587
2013,4.069761631
2014,4.153986423
1990,215.2228711
1991,212.7841722
1992,209.3321847
1993,207.6985513
1994,203.0270411
1995,201.0980109
1996,197.73064
1997,193.7378403
1998,192.4973618
1999,191.9394058
2000,190.3507272
2001,189.0342263
2002,192.3629714
2003,197.4617991
2004,202.8278923
2005,225.2349327
2006,202.4257359
2007,214.1167826
2008,228.9616108
2009,234.8443118
2010,233.9423716
2011,231.4762066
2012,215.1603314
2013,196.7082162
2014,182.950967
1990,207.8931785
1991,212.0066302
1992,212.9732632
1993,215.9804666
1994,215.8702607
1995,213.7499396
1996,213.0873363
1997,210.4530895
1998,211.886983
1999,210.4170639
2000,206.9650594
2001,207.9805643
2002,205.9064776
2003,209.2518891
2004,202.9296639
2005,197.9106463
2006,205.0266182
2007,205.5065325
2008,208.093702
2009,190.691085
2010,174.9740114
2011,161.6343869
2012,149.8951697
2013,144.1916597
2014,138.0889174
1990,114.6905995
1991,120.237959
1992,122.401659
1993,123.7556793
1994,122.8118713
1995,122.1965755
1996,122.359264
1997,122.6866348
1998,119.0740317
1999,118.3798163
2000,115.0676426
2001,114.3996927
2002,105.8020128
2003,83.65721614
2004,49.4016298
2005,30.22687373
2006,19.76902307
2007,17.1133109
2008,18.65952182
2009,20.24621429
2010,22.74948484
2011,23.11213238
2012,23.19403231
2013,22.13404751
2014,22.00118072
1990,111.7757982
1991,112.0378543
1992,109.9840319
1993,108.8978136
1994,108.518301
1995,106.48401
1996,106.8315979
1997,104.0134901
1998,103.1304064
1999,102.0031176
2000,103.2448933
2001,105.1974552
2002,103.7073067
2003,98.80732234
2004,81.57417413
2005,64.11831541
2006,53.60203872
2007,47.16889772
2008,46.27716922
2009,44.05796485
2010,40.11589814
2011,34.39749403
2012,28.13544649
2013,23.945459
2014,24.12786174
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
1990,230.8287719
1991,236.0179499
1992,242.1593533
1993,248.9757504
1994,256.2285246
1995,262.9097038
1996,268.4270864
1997,272.0815673
1998,277.6015274
1999,281.6880148
2000,279.4422882
2001,281.1541511
2002,283.1298139
2003,281.4409508
2004,278.4810186
2005,270.7315718
2006,259.9379669
2007,254.095372
2008,250.6293926
2009,231.0203355
2010,207.8775574
2011,189.9190519
2012,171.2669142
2013,156.863929
2014,147.1985632
1990,48.62665994
1991,48.82026867
1992,48.93864002
1993,48.78235316
1994,49.38359236
1995,51.11772493
1996,49.48538117
1997,49.03769756
1998,49.02999965
1999,48.05770377
2000,45.09764053
2001,47.59859921
2002,49.88425861
2003,49.83497517
2004,47.83932205
2005,50.7077553
2006,48.30093955
2007,31.47301539
2008,19.23322864
2009,12.14889597
2010,10.13433021
2011,10.61072075
2012,17.37214501
2013,26.62334714
2014,25.66258249
1990,0.585001527
1991,0.593391561
1992,0.597808524
1993,0.586529821
1994,0.598740488
1995,0.595602865
1996,0.599943625
1997,0.611842755
1998,0.627635455
1999,0.636920984
2000,0.658981755
2001,0.623681571
2002,0.590272994
2003,0.553075652
2004,0.509203894
2005,0.46595997
2006,0.429360159
2007,0.384856571
2008,0.351391008
2009,0.32649016
2010,0.305739595
2011,0.290856527
2012,0.280077209
2013,0.276946774
2014,0.280775111
1990,11.64148024
1991,12.16211086
1992,12.13593203
1993,12.38719707
1994,12.60641203
1995,12.79503094
1996,13.31786851
1997,13.53835386
1998,14.12027547
1999,14.62621335
2000,15.29580043
2001,15.2904157
2002,14.68510152
2003,14.12770367
2004,14.11347589
2005,15.16257451
2006,11.26251443
2007,9.684279709
2008,8.279465101
2009,7.562635931
2010,6.919198547
2011,6.50014173
2012,6.584253062
2013,6.878667628
2014,6.954293418
1990,0.012029413
1991,0.012223802
1992,0.012469985
1993,0.012738017
1994,0.013345774
1995,0.0150654
1996,0.017760418
1997,0.021245048
1998,0.025133324
1999,0.031473976
2000,0.019291478
2001,0.017283317
2002,0.014375249
2003,0.011996002
2004,0.011213182
2005,0.012440039
2006,0.021384646
2007,0.016882813
2008,0.012961431
2009,0.019431454
2010,0.026628273
2011,0.028231506
2012,0.019536222
2013,0.016084904
2014,0.016376499
1990,134.2908283
1991,132.409401
1992,128.7199152
1993,126.2904185
1994,125.5570276
1995,126.0146244
1996,127.7129076
1997,128.8232078
1998,131.5695417
1999,133.8260159
2000,134.6096926
2001,135.4647377
2002,130.6734685
2003,112.0735397
2004,92.37879242
2005,82.77097637
2006,68.22800625
2007,51.79243443
2008,43.63612869
2009,46.32094342
2010,49.14064582
2011,40.0983911
2012,30.86981133
2013,29.66062998
2014,30.59910884
1990,134.3695039
1991,131.210793
1992,127.5134781
1993,125.2384222
1994,120.6783808
1995,117.8965779
1996,114.4629349
1997,111.3194268
1998,110.8186537
1999,110.0922801
2000,110.6261602
2001,111.5709198
2002,122.7362622
2003,133.0103566
2004,138.6942251
2005,143.9009343
2006,144.6565993
2007,145.9377563
2008,142.2462092
2009,136.0992851
2010,128.8900342
2011,124.328946
2012,118.716509
2013,112.7947236
2014,107.8466003
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
1990,315.726293
1991,312.938599
1992,305.8101164
1993,300.5699687
1994,292.8778826
1995,285.6000855
1996,278.5454502
1997,269.2676021
1998,264.9119559
1999,260.0894006
2000,255.1527631
2001,250.2369473
2002,242.7167749
2003,238.5369878
2004,236.0795015
2005,221.1771586
2006,201.1029149
2007,187.8307495
2008,174.1260004
2009,155.705705
2010,143.4442503
2011,121.7014987
2012,91.13137641
2013,69.03301861
2014,59.73771838
1990,101.2333372
1991,103.7391214
1992,103.735236
1993,102.1231137
1994,98.73470718
1995,95.7019161
1996,91.60237304
1997,88.14113081
1998,88.04036765
1999,88.79030622
2000,88.49873382
2001,91.7127637
2002,87.87149999
2003,81.07978663
2004,70.48974193
2005,50.35178985
2006,39.46625105
2007,36.55093969
2008,28.42520663
2009,28.59439115
2010,29.23265351
2011,25.76852024
2012,27.56319942
2013,35.57082463
